,2015~2020 야구선수,,,데이터 출처: STATIZ,,,"롯데,삼성,해태",,,,,,,,,,,,,,,,,,,,,,,,,
선수명,연도,팀,나이,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,연봉(만 원)
김건국,2020,롯데,32,32,0,0,0,3,2,0,1,31.2,14,14,139,30,5,2,2,9,0,3,31,0,4,3.98,3.56,1.23,122.4,134.6,0.7,5400
서준원,2020,롯데,20,31,0,0,20,7,6,0,0,107.2,71,62,480,130,18,0,16,31,1,5,60,0,3,5.18,5.35,1.5,94,89.8,0.56,4600
박진형,2020,롯데,26,53,0,0,0,1,4,0,17,42.2,27,27,194,56,15,2,7,13,2,4,50,0,3,5.7,4.4,1.62,85.5,109.3,0.38,9000
최채흥,2018,삼성,23,8,0,0,4,4,1,0,0,28,11,10,120,30,5,1,5,8,0,1,25,0,0,3.21,5.33,1.36,165,98.9,0.78,2700
최채흥,2019,삼성,24,28,0,0,15,6,6,0,2,106.2,67,57,478,127,21,5,10,36,1,1,89,0,6,4.81,3.97,1.53,90.2,107.8,0.32,2700
최채흥,2020,삼성,25,26,1,1,26,11,6,0,0,146,67,58,617,131,27,1,12,51,0,7,123,3,3,3.58,4.13,1.25,137.2,117.7,3.35,7500
오승환,2020,삼성,38,45,0,0,0,3,2,18,2,47.2,14,14,201,44,10,1,2,15,0,2,39,0,1,2.64,3.53,1.24,185.6,136.4,2.62,120000
이승현,2017,삼성,26,30,0,0,0,2,0,0,0,31.2,21,18,156,36,5,2,9,22,0,1,25,1,1,5.12,8.03,1.83,99.2,63.2,0.3,6200
이승현,2018,삼성,27,19,0,0,0,1,1,0,2,17,15,15,82,23,3,0,4,7,0,2,14,0,2,7.94,6.83,1.77,66.8,77.3,-0.08,7000
이승현,2019,삼성,28,34,0,0,0,2,1,0,8,37,11,8,147,28,3,0,2,11,0,1,31,0,2,1.95,3.4,1.05,223,124.8,1.16,7000
이승현,2020,삼성,29,65,0,0,0,1,2,0,14,54.1,22,21,226,45,7,1,11,25,1,0,52,0,2,3.48,5.6,1.29,141,88.2,1.61,10000
원태인,2020,삼성,20,27,0,0,26,6,10,0,0,140,84,76,626,162,32,1,19,56,2,5,78,0,6,4.89,5.47,1.56,100.4,89.4,1.51,8000
임현준,2015,삼성,27,7,0,0,0,0,0,0,0,6.1,10,8,33,11,3,1,3,2,0,0,6,0,1,11.37,8.83,2.05,43.4,55.8,-0.25,3300
임현준,2016,삼성,28,2,0,0,0,0,0,0,0,1,4,4,8,4,0,0,1,0,0,1,0,0,0,36,19.79,4,14.6,26.5,-0.13,3300
임현준,2017,삼성,29,11,0,0,0,0,0,0,0,10.2,7,6,48,11,3,0,0,4,0,2,4,0,0,5.06,4.67,1.41,100.2,106.3,0.11,3200
임현준,2018,삼성,30,40,0,0,0,0,1,0,3,27.2,12,12,116,20,4,1,3,11,1,5,26,0,0,3.9,4.99,1.12,135.9,104.8,0.64,3500
임현준,2019,삼성,31,71,0,0,0,1,0,0,8,42.1,19,16,177,34,9,1,2,12,0,3,35,0,0,3.4,3.43,1.09,127.6,123.7,0.72,3500
임현준,2020,삼성,32,51,0,0,0,1,1,0,5,25.1,7,5,109,24,3,0,2,7,1,6,18,0,1,1.78,4.58,1.22,276.1,106.2,1.05,11000
최지광,2017,삼성,19,11,0,0,6,0,2,0,0,25,20,18,123,28,6,0,2,22,0,1,23,0,2,6.48,5.7,2,78.3,87.8,-0.13,2700
최지광,2018,삼성,20,6,0,0,0,0,0,0,0,8.2,12,11,45,11,4,0,0,7,0,0,7,1,1,11.42,4.64,2.08,46.4,110.8,-0.18,3100
최지광,2019,삼성,21,63,0,0,0,3,8,2,10,68,33,31,303,64,9,3,4,40,3,5,60,0,3,4.1,4.26,1.53,105.8,99.5,1.03,3100
최지광,2020,삼성,22,51,0,0,0,1,3,0,15,44.1,24,24,199,34,5,0,2,31,4,3,45,0,5,4.87,4.14,1.47,100.7,116.9,0.85,8000
김윤수,2020,삼성,21,61,0,0,0,3,5,0,12,58,34,30,266,66,9,0,6,31,3,1,41,0,7,4.66,4.99,1.67,105.4,97.8,0.82,3700
허윤동,2020,삼성,19,11,0,0,11,2,1,0,0,45,26,24,204,43,10,0,4,31,0,2,18,1,0,4.8,6.11,1.64,102.2,79.3,0.56,2700
노성호,2020,삼성,31,45,0,0,0,2,3,0,10,36.1,23,18,166,28,5,0,3,29,1,2,34,0,7,4.46,5.23,1.57,110,92.7,0.34,4000
장필준,2015,삼성,27,2,0,0,1,0,0,0,0,4,7,7,22,10,2,0,2,0,0,0,4,0,0,15.75,8.12,2.5,31.3,60.7,-0.31,2800
장필준,2016,삼성,28,56,0,0,1,4,6,4,9,72,42,41,317,82,8,2,9,26,0,5,57,0,4,5.13,5.13,1.5,102.9,101.8,0.99,2800
